Supplier:  John Hodge - Enron- 713-853-7276,,,
Pipeline:  Dominion Transmission,,,
Delivery Point:  Dominion Southpoint,,,
Date of Deal:  Daily Deals,,,
,,,
Day,Vol.,Price,Total
2001-06-01 00:00:00,2047,3.92,8024.24
2001-06-02 00:00:00,2047,3.92,8024.24
2001-06-03 00:00:00,2047,3.92,8024.24
2001-06-04 00:00:00,2047,3.92,8024.24
2001-06-05 00:00:00,2047,4.18,8556.46
2001-06-06 00:00:00,2047,4.11,8413.17
2001-06-07 00:00:00,1637,4,6548
2001-06-08 00:00:00,1637,4,6548
2001-06-09 00:00:00,1637,4,6548
2001-06-10 00:00:00,1637,4,6548
2001-06-11 00:00:00,1637,4,6548
2001-06-12 00:00:00,1637,4,6548
2001-06-13 00:00:00,1637,4,6548
2001-06-14 00:00:00,1637,4,6548
2001-06-15 00:00:00,1637,4,6548
2001-06-16 00:00:00,1637,4,6548
2001-06-17 00:00:00,1637,4,6548
2001-06-18 00:00:00,1637,4,6548
2001-06-19 00:00:00,1637,4,6548
2001-06-20 00:00:00,1637,4,6548
2001-06-21 00:00:00,1637,4,6548
2001-06-22 00:00:00,1637,4,6548
2001-06-23 00:00:00,1637,4,6548
2001-06-24 00:00:00,1637,4,6548
2001-06-25 00:00:00,1637,4,6548
2001-06-26 00:00:00,1637,4,6548
2001-06-27 00:00:00,1637,4,6548
2001-06-28 00:00:00,1637,4,6548
2001-06-29 00:00:00,1637,4,6548
2001-06-30 00:00:00,1637,4,6548
,51570,,206218.59
,,,
Total Purchase Amount:,,,206218.59
