ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Julie,Kerr,AUS,4801,00:29:04,00:04:34,01:21:16,00:03:45,00:47:34,1,02:46:16
Lynne,Pattle,NZL,4784,00:31:22,00:03:56,01:21:31,00:03:44,00:46:45,2,02:47:22
Joy,Baker,NZL,4782,00:31:07,00:03:56,01:23:59,00:03:41,00:52:40,3,02:55:26
Julie,Rooney,NZL,4787,00:31:29,00:05:19,01:23:18,00:04:35,00:58:48,4,03:03:31
Bernie,Portenski,NZL,4785,00:35:25,00:08:09,01:30:49,00:04:54,00:45:22,5,03:04:41
Barbara,Davis,GBR,4804,00:34:30,00:03:57,01:29:07,00:03:57,00:54:19,6,03:05:56
Margot,De Gannes,AUS,4799,00:33:40,00:04:22,01:25:54,00:05:05,00:59:29,7,03:08:31
Linda,Icely,RSA,4788,00:29:28,00:06:10,01:35:08,00:05:19,00:53:21,8,03:09:29
Shigeko,Muneta,JPN,4805,00:35:23,00:06:53,01:28:47,00:04:38,00:54:27,9,03:10:10
Shirley Jean,Rolston,NZL,4786,00:38:52,00:06:03,01:25:33,00:04:41,01:00:17,10,03:15:28
Ann,Bondy,NZL,4783,00:40:21,00:04:38,01:27:06,00:04:34,00:59:00,11,03:15:42
Laurita,Samuels,USA,4798,00:35:56,00:07:55,01:31:23,00:05:30,00:56:03,12,03:16:49
Cande,Olsen,USA,4796,00:38:39,00:05:42,01:35:54,00:05:16,00:58:24,13,03:23:58
Vicki,Mccloskey,USA,4793,00:52:32,00:05:31,01:29:31,00:05:30,00:53:08,14,03:26:15
Adri,Herman,USA,4792,00:46:04,00:09:04,01:29:16,00:04:52,00:58:47,15,03:28:05
Sunny,Mckee,USA,4794,00:39:07,00:06:21,01:33:38,00:05:51,01:03:45,16,03:28:43
Ruth,Calman,CAN,4803,00:38:35,00:06:29,01:40:04,00:05:39,01:01:05,17,03:31:56
Paula,North,USA,4795,00:44:42,00:07:12,01:33:58,00:06:02,01:02:27,18,03:34:22
Graciela,Saenz Espinosa,MEX,4807,00:44:48,00:07:11,01:39:06,00:06:06,00:58:33,19,03:35:45
Catharina,Hamilton,AUS,4800,00:44:08,00:06:32,01:41:50,00:06:03,00:59:17,20,03:37:52
Mary,Duguay,USA,4790,00:42:24,00:07:18,01:36:39,00:05:45,01:07:53,21,03:40:02
Chary,Griffin,USA,4791,00:41:16,00:08:45,01:50:43,00:05:53,01:03:33,22,03:50:12
Mary,Rial,USA,4797,00:42:32,00:12:07,01:59:16,00:05:47,01:10:38,23,04:10:23
