ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Thomas,Geiger,GER,0,01:00:39,00:01:58,04:57:00,00:01:29,03:12:40,1,09:13:46
Nikolaus,Loder,GER,0,00:55:16,00:02:05,05:10:06,00:01:37,03:23:01,2,09:32:03
Fritz,Buchstaller,GER,0,01:04:58,00:01:58,04:55:02,00:01:46,03:32:53,3,09:36:36
Mark,Davis,GBR,0,00:58:42,00:02:15,05:07:17,00:01:46,03:31:32,4,09:41:30
Mario,Röder,GER,0,01:09:08,00:02:30,04:58:45,00:01:30,03:32:20,5,09:44:12
Walter,Schaaf,GER,0,01:01:07,00:03:28,05:21:38,00:02:18,03:27:11,6,09:55:41
Bernd,Sauter,GER,0,00:58:59,00:02:01,05:10:24,00:01:55,03:44:05,7,09:57:23
Jan,Selnes,GER,0,01:09:02,00:02:46,05:18:47,00:02:18,03:30:03,8,10:02:53
Jürgen,Steiner,GER,0,01:27:56,00:04:55,05:07:50,00:02:57,03:33:38,9,10:17:14
Robert,Schweiger,GER,0,01:24:22,00:06:03,05:22:24,00:04:45,03:23:11,10,10:20:43
Udo,Heckel,GER,0,01:10:03,00:02:47,05:23:52,00:01:15,03:43:26,11,10:21:20
Jean-Luc,Di Maria,FRA,0,00:59:55,00:02:31,05:23:44,00:01:21,03:54:28,12,10:21:57
Manfred,Wageringel,GER,0,00:58:13,00:03:56,05:24:50,00:02:01,03:53:23,13,10:22:21
Markus,Profunser,AUT,0,01:04:19,00:05:53,05:29:58,00:04:46,03:39:42,14,10:24:36
Michael,Trilke,GER,0,01:07:16,00:03:36,05:32:02,00:03:08,03:41:54,15,10:27:54
Marc,Vanden Eynden,BEL,0,01:09:59,00:03:39,05:24:09,00:02:59,03:50:27,16,10:31:11
Klaus-Peter,Bucher,GER,0,01:08:46,00:03:47,05:34:20,00:03:39,03:42:51,17,10:33:24
Emili,Llopart,ESP,0,01:09:37,00:04:22,05:33:42,00:02:16,03:47:38,18,10:37:34
Denny,Quelier,FRA,0,00:58:33,00:02:34,05:22:50,00:01:55,04:14:26,19,10:40:17
Jan,Marin,GER,0,01:09:42,00:02:34,05:39:14,00:01:55,03:50:28,20,10:43:52
Hans,Kemmerich,GER,0,01:08:51,00:04:01,05:33:31,00:04:10,03:56:03,21,10:46:34
René,Kälin,SUI,0,01:13:11,00:04:25,05:25:47,00:02:49,04:00:52,22,10:47:04
Jan,Van Oyen,BEL,0,01:04:38,00:04:53,05:48:45,00:06:39,03:45:33,23,10:50:27
Rolf,Schweiger,GER,0,00:59:16,00:02:50,05:23:16,00:01:27,04:24:39,24,10:51:27
Georg,Vetter,GER,0,01:11:59,00:04:59,05:24:55,00:03:29,04:07:17,25,10:52:39
Frederic,Roudaire,FRA,0,01:04:31,00:03:32,05:45:37,00:03:01,03:56:11,26,10:52:51
Matthias,Vogg,GER,0,01:10:30,00:04:08,05:27:05,00:04:11,04:08:30,27,10:54:21
Michael,Höhn,GER,0,01:10:23,00:03:57,05:26:41,00:03:24,04:10:08,28,10:54:32
Lukas,Härder,GER,0,01:11:35,00:05:38,05:25:11,00:03:20,04:09:42,29,10:55:23
Jan,Seidel,GER,0,00:53:06,00:04:04,05:24:53,00:03:31,04:30:02,30,10:55:35
Reiner,Gießau,GER,0,01:15:17,00:03:56,05:29:16,00:04:11,04:03:25,31,10:56:05
Klaus,Bohrer,GER,0,01:06:38,00:03:43,05:47:52,00:02:38,03:56:06,32,10:56:55
Achim,Schattmann,GER,0,01:03:21,00:02:52,05:11:31,00:04:16,04:36:16,33,10:58:15
Robert,Franke,GER,0,01:08:03,00:05:23,05:57:15,00:04:54,03:48:24,34,11:03:59
Gerold,Rabenstein,GER,0,01:11:15,00:05:16,05:41:30,00:02:33,04:03:40,35,11:04:13
Günter,Eckert,GER,0,01:05:59,00:03:10,05:35:01,00:03:50,04:17:36,36,11:05:36
Wolfgang,Lehmann,GER,0,01:08:56,00:05:29,06:09:14,00:05:30,03:40:25,37,11:09:32
Eduard,Györög,AUT,0,01:24:08,00:03:01,05:36:13,00:02:09,04:05:17,38,11:10:48
Klaus,Scheele,GER,0,01:15:40,00:04:33,05:32:44,00:02:37,04:15:30,39,11:11:04
Kai Uwe,Schlichting,GER,0,01:07:41,00:02:26,05:24:43,00:03:41,04:32:50,40,11:11:19
Peter,Häring,GER,0,01:06:36,00:02:50,05:27:21,00:04:13,04:32:12,41,11:13:10
Bernd,Habermann,GER,0,01:10:09,00:03:20,05:36:58,00:02:21,04:20:23,42,11:13:11
Gilles,Guilloux,FRA,0,01:06:19,00:04:47,06:03:01,00:04:56,03:56:46,43,11:15:46
Bernd,Paczarkowski,GER,0,01:10:45,00:04:58,05:56:51,00:06:00,03:58:55,44,11:17:27
Karol,Vins,SVK,0,01:00:02,00:03:37,05:42:17,00:02:56,04:29:35,45,11:18:26
Phil,Saussus,BEL,0,01:12:20,00:03:36,05:34:04,00:03:50,04:25:29,46,11:19:18
Pascal,Draux,FRA,0,01:18:40,00:07:30,06:11:56,00:04:04,03:38:12,47,11:20:21
